PassengerId,Pclass,Sex,Age,SibSp,Parch,Embarked,Survived
595,2,1,37.0,1,0,0,0
625,3,1,21.0,0,0,0,0
342,1,0,24.0,3,2,0,1
793,3,0,29.69911764705882,8,2,0,0
768,3,0,30.5,0,0,2,0
836,1,0,39.0,1,1,1,1
815,3,1,30.5,0,0,0,0
332,1,1,45.5,0,0,0,0
209,3,0,16.0,0,0,2,1
68,3,1,19.0,0,0,0,0
823,1,1,38.0,0,0,0,0
812,3,1,39.0,0,0,0,0
157,3,0,16.0,0,0,2,1
594,3,0,29.69911764705882,0,2,2,0
88,3,1,29.69911764705882,0,0,0,0
777,3,1,29.69911764705882,0,0,2,0
273,2,0,41.0,0,1,0,1
1,3,1,22.0,1,0,0,0
81,3,1,22.0,0,0,0,0
315,2,1,43.0,1,1,0,0
227,2,1,19.0,0,0,0,1
56,1,1,29.69911764705882,0,0,0,1
113,3,1,22.0,0,0,0,0
33,3,0,29.69911764705882,0,0,2,1
692,3,0,4.0,0,1,1,1
328,2,0,36.0,0,0,0,1
674,2,1,31.0,0,0,0,1
691,1,1,31.0,1,0,0,1
45,3,0,19.0,0,0,2,1
749,1,1,19.0,1,0,0,0
618,3,0,26.0,1,0,0,0
390,2,0,17.0,0,0,1,1
683,3,1,20.0,0,0,0,0
613,3,0,29.69911764705882,1,0,2,1
186,1,1,29.69911764705882,0,0,0,0
729,2,1,25.0,1,0,0,0
655,3,0,18.0,0,0,2,0
282,3,1,28.0,0,0,0,0
302,3,1,29.69911764705882,2,0,2,1
726,3,1,20.0,0,0,0,0
753,3,1,33.0,0,0,0,0
637,3,1,32.0,0,0,0,0
114,3,0,20.0,1,0,0,0
629,3,1,26.0,0,0,0,0
292,1,0,19.0,1,0,1,1
353,3,1,15.0,1,1,1,0
525,3,1,29.69911764705882,0,0,1,0
377,3,0,22.0,0,0,0,1
2,1,0,38.0,1,0,1,1
462,3,1,34.0,0,0,0,0
110,3,0,29.69911764705882,1,0,2,1
782,1,0,17.0,1,0,0,1
757,3,1,28.0,0,0,0,0
510,3,1,26.0,0,0,0,1
220,2,1,30.0,0,0,0,0
76,3,1,25.0,0,0,0,0
121,2,1,21.0,2,0,0,0
344,2,1,25.0,0,0,0,0
523,3,1,29.69911764705882,0,0,1,0
805,3,1,27.0,0,0,0,1
775,2,0,54.0,1,3,0,1
502,3,0,21.0,0,0,2,0
257,1,0,29.69911764705882,0,0,1,1
259,1,0,35.0,0,0,1,1
400,2,0,28.0,0,0,0,1
761,3,1,29.69911764705882,0,0,0,0
191,2,0,32.0,0,0,0,1
459,2,0,50.0,0,0,0,1
167,1,0,29.69911764705882,0,1,0,1
305,3,1,29.69911764705882,0,0,0,0
366,3,1,30.0,0,0,0,0
53,1,0,49.0,1,0,1,1
759,3,1,34.0,0,0,0,0
848,3,1,35.0,0,0,1,0
878,3,1,19.0,0,0,0,0
512,3,1,29.69911764705882,0,0,0,0
169,1,1,29.69911764705882,0,0,0,0
336,3,1,29.69911764705882,0,0,0,0
97,1,1,71.0,0,0,1,0
596,3,1,36.0,1,1,0,0
862,2,1,21.0,1,0,0,0
780,1,0,43.0,0,1,0,1
760,1,0,33.0,0,0,0,1
619,2,0,4.0,2,1,0,1
890,1,1,26.0,0,0,1,1
518,3,1,29.69911764705882,0,0,2,0
130,3,1,45.0,0,0,0,0
587,2,1,47.0,0,0,0,0
663,1,1,47.0,0,0,0,0
694,3,1,25.0,0,0,1,0
651,3,1,29.69911764705882,0,0,0,0
754,3,1,23.0,0,0,0,0
797,1,0,49.0,0,0,0,1
272,3,1,25.0,0,0,0,1
41,3,0,40.0,1,0,0,0
72,3,0,16.0,5,2,0,0
591,3,1,35.0,0,0,0,0
547,2,0,19.0,1,0,0,1
34,2,1,66.0,0,0,0,0
766,1,0,51.0,1,0,0,1
385,3,1,29.69911764705882,0,0,0,0
24,1,1,28.0,0,0,0,1
8,3,1,2.0,3,1,0,0
382,3,0,1.0,0,2,1,1
640,3,1,29.69911764705882,1,0,0,0
792,2,1,16.0,0,0,0,0
585,3,1,29.69911764705882,0,0,1,0
412,3,1,29.69911764705882,0,0,2,0
228,3,1,20.5,0,0,0,0
626,1,1,61.0,0,0,0,0
291,1,0,26.0,0,0,0,1
183,3,1,9.0,4,2,0,0
622,1,1,42.0,1,0,0,1
411,3,1,29.69911764705882,0,0,0,0
802,2,0,31.0,1,1,0,1
360,3,0,29.69911764705882,0,0,2,1
37,3,1,29.69911764705882,0,0,1,1
795,3,1,25.0,0,0,0,0
270,1,0,35.0,0,0,0,1
159,3,1,29.69911764705882,0,0,0,0
101,3,0,28.0,0,0,0,0
137,1,0,19.0,0,2,0,1
453,1,1,30.0,0,0,1,0
346,2,0,24.0,0,0,0,1
533,3,1,17.0,1,1,1,0
188,1,1,45.0,0,0,0,1
589,3,1,22.0,0,0,0,0
756,2,1,0.67,1,1,0,1
312,1,0,18.0,2,2,1,1
372,3,1,18.0,1,0,0,0
580,3,1,32.0,0,0,0,1
283,3,1,16.0,0,0,0,0
192,2,1,19.0,0,0,0,0
590,3,1,29.69911764705882,0,0,0,0
675,2,1,29.69911764705882,0,0,0,0
354,3,1,25.0,1,0,0,0
762,3,1,41.0,0,0,0,0
709,1,0,22.0,0,0,0,1
172,3,1,4.0,4,1,2,0
311,1,0,24.0,0,0,1,1
112,3,0,14.5,1,0,1,0
20,3,0,29.69911764705882,0,0,1,1
645,3,0,0.75,2,1,1,1
800,3,0,30.0,1,1,0,0
470,3,0,0.75,2,1,1,1
35,1,1,28.0,1,0,1,0
185,3,0,4.0,0,2,0,1
359,3,0,29.69911764705882,0,0,2,1
720,3,1,33.0,0,0,0,0
668,3,1,29.69911764705882,0,0,0,0
301,3,0,29.69911764705882,0,0,2,1
868,1,1,31.0,0,0,0,0
430,3,1,32.0,0,0,0,1
496,3,1,29.69911764705882,0,0,1,0
550,2,1,8.0,1,1,0,1
198,3,1,42.0,0,1,0,0
686,2,1,25.0,1,2,1,0
818,2,1,31.0,1,1,1,0
313,2,0,26.0,1,1,0,0
794,1,1,29.69911764705882,0,0,1,0
306,1,1,0.92,1,2,0,1
877,3,1,20.0,0,0,0,0
787,3,0,18.0,0,0,0,1
392,3,1,21.0,0,0,0,1
537,1,1,45.0,0,0,0,0
394,1,0,23.0,1,0,1,1
690,1,0,15.0,0,1,0,1
280,3,0,35.0,1,1,0,1
50,3,0,18.0,1,0,0,0
317,2,0,24.0,1,0,0,1
409,3,1,21.0,0,0,0,0
12,1,0,58.0,0,0,0,1
18,2,1,29.69911764705882,0,0,0,1
70,3,1,26.0,2,0,0,0
468,1,1,56.0,0,0,0,0
219,1,0,32.0,0,0,1,1
592,1,0,52.0,1,0,1,1
630,3,1,29.69911764705882,0,0,2,0
887,2,1,27.0,0,0,0,0
27,3,1,29.69911764705882,0,0,1,0
738,1,1,35.0,0,0,1,1
874,3,1,47.0,0,0,0,0
234,3,0,5.0,4,2,0,1
176,3,1,18.0,1,1,0,0
373,3,1,19.0,0,0,0,0
429,3,1,29.69911764705882,0,0,2,0
443,3,1,25.0,1,0,0,0
284,3,1,19.0,0,0,0,1
466,3,1,38.0,0,0,0,0
614,3,1,29.69911764705882,0,0,2,0
221,3,1,16.0,0,0,0,1
455,3,1,29.69911764705882,0,0,0,0
49,3,1,29.69911764705882,2,0,1,0
506,1,1,18.0,1,0,1,0
736,3,1,28.5,0,0,0,0
295,3,1,24.0,0,0,0,0
73,2,1,21.0,0,0,0,0
609,2,0,22.0,1,2,1,1
89,1,0,23.0,3,2,0,1
834,3,1,23.0,0,0,0,0
19,3,0,31.0,1,0,0,0
682,1,1,27.0,0,0,1,1
791,3,1,29.69911764705882,0,0,2,0
98,1,1,23.0,0,1,1,1
732,3,1,11.0,0,0,1,0
349,3,1,3.0,1,1,0,1
66,3,1,29.69911764705882,1,1,1,1
730,3,0,25.0,1,0,0,0
36,1,1,42.0,1,0,0,0
704,3,1,25.0,0,0,2,0
841,3,1,20.0,0,0,0,0
778,3,0,5.0,0,0,0,1
237,2,1,44.0,1,0,0,0
821,1,0,52.0,1,1,0,1
351,3,1,23.0,0,0,0,0
119,1,1,24.0,0,1,1,0
504,3,0,37.0,0,0,0,0
397,3,0,31.0,0,0,0,0
725,1,1,27.0,1,0,0,1
318,2,1,54.0,0,0,0,0
737,3,0,48.0,1,3,0,0
173,3,0,1.0,1,1,0,1
581,2,0,25.0,1,1,0,1
425,3,1,18.0,1,1,0,0
677,3,1,24.5,0,0,0,0
47,3,1,29.69911764705882,1,0,2,0
4,1,0,35.0,1,0,0,1
256,3,0,29.0,0,2,1,1
582,1,0,39.0,1,1,1,1
471,3,1,29.69911764705882,0,0,0,0
294,3,0,24.0,0,0,0,0
665,3,1,20.0,1,0,0,1
180,3,1,36.0,0,0,0,0
854,1,0,16.0,0,1,0,1
333,1,1,38.0,0,1,0,0
205,3,1,18.0,0,0,0,1
535,3,0,30.0,0,0,0,0
380,3,1,19.0,0,0,0,0
267,3,1,16.0,4,1,0,0
324,2,0,22.0,1,1,0,1
866,2,0,42.0,0,0,0,1
631,1,1,80.0,0,0,0,1
519,2,0,36.0,1,0,0,1
107,3,0,21.0,0,0,0,1
83,3,0,29.69911764705882,0,0,2,1
480,3,0,2.0,0,1,0,1
569,3,1,29.69911764705882,0,0,1,0
456,3,1,29.0,0,0,1,1
433,2,0,42.0,1,0,0,1
813,2,1,35.0,0,0,0,0
85,2,0,17.0,0,0,0,1
187,3,0,29.69911764705882,1,0,2,1
