PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Embarked,FamilySize,isAlone,CategoricalFare,Title
1,0,3,1,22.0,1,0,0,1,1,0,1
2,1,1,0,38.0,1,0,1,1,1,3,3
3,1,3,0,26.0,0,0,0,0,0,1,2
4,1,1,0,35.0,1,0,0,1,1,3,3
5,0,3,1,35.0,0,0,0,0,0,1,1
6,0,3,1,49.605,0,0,2,0,0,1,1
7,0,1,1,54.0,0,0,0,0,0,3,1
8,0,3,1,2.0,3,1,0,4,0,2,4
9,1,3,0,27.0,0,2,0,2,0,1,3
10,1,2,0,14.0,1,0,1,1,1,2,3
11,1,3,0,4.0,1,1,0,2,0,2,2
12,1,1,0,58.0,0,0,0,0,0,2,2
13,0,3,1,20.0,0,0,0,0,0,1,1
14,0,3,1,39.0,1,5,0,6,0,3,1
15,0,3,0,14.0,0,0,0,0,0,0,2
16,1,2,0,55.0,0,0,0,0,0,2,3
17,0,3,1,2.0,4,1,2,5,0,2,4
18,1,2,1,40.745,0,0,0,0,0,1,1
19,0,3,0,31.0,1,0,0,1,1,2,3
20,1,3,0,32.07,0,0,1,0,0,0,3
21,0,2,1,35.0,0,0,0,0,0,2,1
22,1,2,1,34.0,0,0,0,0,0,1,1
23,1,3,0,15.0,0,0,2,0,0,1,2
24,1,1,1,28.0,0,0,0,0,0,3,1
25,0,3,0,8.0,3,1,0,4,0,2,2
26,1,3,0,38.0,1,5,0,6,0,3,3
27,0,3,1,26.885,0,0,1,0,0,0,1
28,0,1,1,19.0,3,2,0,5,0,3,1
29,1,3,0,18.045,0,0,2,0,0,0,2
30,0,3,1,27.955,0,0,0,0,0,0,1
31,0,1,1,40.0,0,0,1,0,0,2,5
32,1,1,0,42.29,1,0,1,1,1,3,3
33,1,3,0,17.785,0,0,2,0,0,0,2
34,0,2,1,66.0,0,0,0,0,0,1,1
35,0,1,1,28.0,1,0,1,1,1,3,1
36,0,1,1,42.0,1,0,0,1,1,3,1
37,1,3,1,26.405,0,0,1,0,0,0,1
38,0,3,1,21.0,0,0,0,0,0,1,1
39,0,3,0,18.0,2,0,0,2,0,2,2
40,1,3,0,14.0,1,0,1,1,1,1,2
41,0,3,0,40.0,1,0,0,1,1,1,3
42,0,2,0,27.0,1,0,0,1,1,2,3
43,0,3,1,27.455,0,0,1,0,0,0,1
44,1,2,0,3.0,1,2,1,3,0,3,2
45,1,3,0,19.0,0,0,2,0,0,0,2
46,0,3,1,21.82,0,0,0,0,0,1,1
47,0,3,1,47.65,1,0,2,1,1,2,1
48,1,3,0,18.875,0,0,2,0,0,0,2
