base_score,[619.30829761]
age,score
"(-inf, 48.49]",-3.1888480395446677
"(48.49, 58.674]",-0.7280839909469848
"(58.674, 64.0]",4.6863860740522325
"(64.0, 74.0]",8.543025738899566
"(74.0, inf]",13.478022401228134
RevolvingUtilizationOfUnsecuredLines,score
"(-inf, 0.0606]",43.803492728540135
"(0.0606, 0.221]",18.826016065863225
"(0.221, 0.551]",-2.2086985491545397
"(0.551, 0.983]",-20.873091717518985
"(0.983, 1.0]",-8.575491579339477
"(1.0, inf]",-37.01749031891303
DebtRatio,score
"(-inf, 0.0182]",5.0287909017143475
"(0.0182, 0.403]",0.13819703702198122
"(0.403, 1.49]",-1.328221928221739
"(1.49, inf]",0.5910561230647589
MonthlyIncome,score
"(-inf, 0.1]",28.96181950473372
"(0.1, 5596.673]",-5.2753912434160615
"(5596.673, inf]",5.215681185288653
NumberOfOpenCreditLinesAndLoans,score
"(-inf, 5.975]",-6.712309099167035
"(5.975, 6.0]",42.62865209724284
"(6.0, 8.907]",-4.9916285686411515
"(8.907, 9.122]",28.299923210748084
"(9.122, inf]",0.5962028405830286
NumberOfTime30-59DaysPastDueNotWorse,score
"(-inf, 0.0]",19.855922426673626
"(0.0, 1.0]",-25.375641810157816
"(1.0, 2.0]",-37.21257976679368
"(2.0, inf]",-41.37425845775609
NumberOfTimes90DaysLate,score
"(-inf, 0.0]",13.32388453146594
"(0.0, 1.0]",-49.61650435492625
"(1.0, 2.0]",-58.31852905204235
"(2.0, inf]",-60.498024136008596
NumberRealEstateLoansOrLines,score
"(-inf, 0.0]",10.725940016937251
"(0.0, 1.0]",-0.35073489626702126
"(1.0, 2.0]",-5.550379856269104
"(2.0, 4.0]",-21.544725754745407
"(4.0, inf]",-46.43020223623325
NumberOfTime60-89DaysPastDueNotWorse,score
"(-inf, 0.0]",8.600726025061851
"(0.0, 1.0]",-39.24806624243406
"(1.0, 2.0]",-46.84529154564593
"(2.0, inf]",-44.8462949650808
NumberOfDependents,score
"(-inf, 0.0]",11.02101372938401
"(0.0, 1.0]",-10.212213486612521
"(1.0, 2.0]",-9.613434351144058
"(2.0, inf]",-8.324665209241203
